year,month,wave_height
1979,1,3.788
1979,2,3.768
1979,3,4.774
1979,4,2.818
1979,5,2.734
1979,6,2.086
1979,7,2.066
1979,8,2.236
1979,9,3.322
1979,10,3.512
1979,11,4.348
1979,12,4.628
1980,1,3.666
1980,2,4.326
1980,3,3.522
1980,4,3.18
1980,5,1.954
1980,6,1.72
1980,7,1.86
1980,8,1.95
1980,9,3.11
1980,10,3.78
1980,11,3.474
1980,12,5.28
1981,1,5.068
1981,2,4.954
1981,3,3.77
1981,4,2.402
1981,5,2.166
1981,6,2.084
1981,7,2.246
1981,8,2.228
1981,9,2.634
1981,10,4.41
1981,11,4.342
1981,12,3.28
1982,1,3.73
1982,2,4.886
1982,3,4.76
1982,4,3.188
1982,5,2.528
1982,6,1.662
1982,7,1.952
1982,8,2.388
1982,9,3.336
1982,10,4.034
1982,11,4.502
1982,12,5.438
1983,1,6.956
1983,2,3.356
1983,3,4.426
1983,4,3.02
1983,5,1.902
1983,6,2.392
1983,7,2.242
1983,8,2.318
1983,9,2.65
1983,10,4.342
1983,11,3.228
1983,12,4.544
1984,1,5.54
1984,2,5.174
1984,3,2.756
1984,4,3.004
1984,5,1.98
1984,6,2.156
1984,7,1.668
1984,8,2.084
1984,9,2.7
1984,10,3.394
1984,11,3.516
1984,12,4.79
1985,1,3.162
1985,2,3.704
1985,3,3.804
1985,4,3.16
1985,5,2.206
1985,6,2.022
1985,7,2.004
1985,8,2.204
1985,9,2.612
1985,10,3.33
1985,11,3.46
1985,12,4.258
1986,1,5.122
1986,2,2.662
1986,3,5.252
1986,4,2.454
1986,5,2.608
1986,6,2.124
1986,7,1.794
1986,8,1.666
1986,9,3.098
1986,10,4.91
1986,11,5.15
1986,12,5.296
1987,1,3.006
1987,2,3.702
1987,3,4.216
1987,4,2.974
1987,5,2.428
1987,6,1.82
1987,7,1.93
1987,8,1.964
1987,9,3.302
1987,10,3.18
1987,11,3.442
1987,12,3.564
1988,1,4.304
1988,2,4.126
1988,3,3.724
1988,4,2.726
1988,5,2.42
1988,6,2.17
1988,7,2.096
1988,8,2.28
1988,9,2.998
1988,10,3.064
1988,11,3.448
1988,12,5.082
1989,1,6.272
1989,2,6.074
1989,3,4.702
1989,4,2.572
1989,5,2.686
1989,6,2.004
1989,7,2.066
1989,8,2.778
1989,9,3.77
1989,10,3.676
1989,11,2.98
1989,12,3.874
1990,1,6.008
1990,2,5.892
1990,3,6.168
1990,4,5.238
1990,5,4.534
1990,6,4.584
1990,7,4.648
1990,8,4.688
1990,9,5.064
1990,10,5.032
1990,11,4.912
1990,12,5.53
1991,1,4.428
1991,2,3.982
1991,3,3.468
1991,4,3.314
1991,5,2.404
1991,6,1.87
1991,7,1.62
1991,8,2.462
1991,9,2.768
1991,10,3.822
1991,11,4.37
1991,12,4.95
1992,1,4.55
1992,2,5.566
1992,3,4.838
1992,4,3.128
1992,5,2.502
1992,6,2.348
1992,7,2.248
1992,8,2.27
1992,9,2.536
1992,10,2.976
1992,11,4.628
1992,12,4.758
1993,1,6.47
1993,2,4.824
1993,3,4.67
1993,4,2.99
1993,5,2.308
1993,6,2.258
1993,7,1.998
1993,8,2.41
1993,9,1.834
1993,10,3.306
1993,11,4.28
1993,12,4.928
1994,1,5.666
1994,2,4.468
1994,3,6.184
1994,4,4.198
1994,5,2.198
1994,6,2.606
1994,7,2.146
1994,8,1.896
1994,9,2.546
1994,10,2.894
1994,11,3.888
1994,12,5.334
1995,1,5.112
1995,2,5.428
1995,3,4.568
1995,4,3.662
1995,5,2.048
1995,6,1.762
1995,7,2.01
1995,8,2.182
1995,9,2.874
1995,10,3.64
1995,11,3.246
1995,12,3.236
1996,1,3.648
1996,2,4.062
1996,3,2.944
1996,4,2.902
1996,5,2.178
1996,6,2.368
1996,7,2.152
1996,8,2.078
1996,9,2.536
1996,10,4.032
1996,11,3.942
1996,12,3.148
1997,1,3.644
1997,2,3.644
1997,3,5.3
1997,4,5.608
1997,5,4.668
1997,6,4.754
1997,7,2.446
1997,8,2.976
1997,9,2.438
1997,10,1.992
1997,11,2.122
1997,12,1.926
1998,1,1.972
1998,2,1.856
1998,3,2.408
1998,4,2.372
1998,5,3.112
1998,6,3.064
1998,7,3.242
1998,8,3.156
1998,9,3.816
1998,10,3.722
1998,11,4.762
1998,12,4.532
1999,1,4.616
1999,2,5.844
1999,3,3.83
1999,4,3.072
1999,5,2.642
1999,6,2.228
1999,7,2.032
1999,8,1.726
1999,9,2.876
1999,10,3.638
1999,11,4.11
1999,12,4.342
2000,1,5.026
2000,2,5.698
2000,3,4.018
2000,4,3.272
2000,5,2.23
2000,6,2.34
2000,7,1.838
2000,8,1.81
2000,9,2.814
2000,10,4.15
2000,11,3.228
2000,12,3.698
2001,1,3.586
2001,2,4.176
2001,3,2.944
2001,4,2.91
2001,5,2.264
2001,6,2.316
2001,7,2.068
2001,8,2.126
2001,9,2.63
2001,10,3.154
2001,11,4.718
2001,12,3.48
2002,1,4.958
2002,2,5.834
2002,3,4.238
2002,4,3.356
2002,5,2.488
2002,6,2.364
2002,7,2.006
2002,8,1.962
2002,9,2.068
2002,10,3.134
2002,11,4.054
2002,12,3.062
2003,1,4.64
2003,2,5.064
2003,3,3.954
2003,4,2.426
2003,5,2.326
2003,6,2.052
2003,7,1.496
2003,8,1.9
2003,9,3.142
2003,10,3.426
2003,11,3.42
2003,12,3.81
2004,1,4.168
2004,2,3.968
2004,3,3.98
2004,4,2.818
2004,5,2.618
2004,6,2.144
2004,7,1.8
2004,8,2.076
2004,9,3.416
2004,10,2.942
2004,11,4.016
2004,12,5.62
2005,1,5.234
2005,2,3.766
2005,3,3.382
2005,4,3.4
2005,5,2.052
2005,6,2.092
2005,7,1.97
2005,8,2.262
2005,9,3.064
2005,10,3.778
2005,11,4.334
2005,12,4.488
2006,1,4.89
2006,2,3.74
2006,3,2.962
2006,4,3.546
2006,5,2.336
2006,6,1.942
2006,7,2.172
2006,8,2.428
2006,9,2.66
2006,10,3.446
2006,11,4.486
2006,12,4.388
2007,1,4.088
2007,2,3.482
2007,3,4.134
2007,4,3.122
2007,5,3.062
2007,6,2.752
2007,7,2.802
2007,8,3.242
2007,9,3.372
2007,10,3.338
2007,11,3.566
2007,12,4.002
2008,1,4.176
2008,2,4.246
2008,3,3.392
2008,4,3.13
2008,5,2.686
2008,6,2.932
2008,7,2.838
2008,8,2.918
2008,9,3.286
2008,10,4.146
2008,11,3.612
2008,12,3.782
2009,1,4.778
2009,2,3.602
2009,3,4.06
2009,4,2.866
2009,5,3.29
2009,6,1.558
2009,7,1.8
2009,8,2.168
2009,9,3.344
2009,10,3.024
2009,11,3.7
2009,12,3.826
2010,1,3.774
2010,2,2.744
2010,3,3.176
2010,4,2.818
2010,5,2.112
2010,6,1.954
2010,7,2.28
2010,8,1.906
2010,9,2.876
2010,10,3.314
2010,11,3.37
2010,12,3.134
2011,1,3.938
2011,2,5.618
2011,3,4.106
2011,4,4.046
2011,5,2.512
2011,6,2.094
2011,7,2.048
2011,8,2.044
2011,9,3.222
2011,10,4.134
2011,11,4.278
2011,12,5.324
2012,1,5.148
2012,2,4.618
2012,3,4.356
2012,4,2.582
2012,5,2.57
2012,6,1.74
2012,7,2.206
2012,8,2.062
2012,9,3.618
2012,10,2.532
2012,11,3.91
2012,12,3.928
2013,1,4.27
2013,2,4.09
2013,3,3.696
2013,4,3.302
2013,5,2.502
2013,6,1.772
2013,7,2.016
2013,8,2.172
2013,9,3.034
2013,10,3.462
2013,11,3.856
2013,12,5.76
2014,1,4.294
2014,2,3.794
2014,3,4.646
2014,4,3.212
2014,5,2.226
2014,6,1.558
2014,7,1.894
2014,8,2.092
2014,9,2.58
2014,10,3.87
2014,11,3.108
2014,12,6.044
2015,1,6.488
2015,2,5.954
2015,3,4.26
2015,4,5.838
2015,5,4.882
2015,6,3.678
2015,7,3.308
2015,8,2.786
2015,9,2.71
2015,10,3.046
2015,11,4.622
2015,12,5.048
